from_block,well,base_strain,receptor,anchor,nanobody,negsel,dilution,notes
2,F7,yNP22448,,,,,,
2,F8,yNP22449,,,,,,
2,F9,yNP22450,,,,,,
2,F10,yNP22452,,,,,,
2,F11,yNP22453,,,,,,
2,F12,yNP22454,,,,,,
2,G1,yNP22424,,,,,,
2,G2,yNP22425,,,,,,
2,G3,yNP22426,,,,,,
2,G4,yNP22428,,,,,,
2,G5,yNP22429,,,,,,
2,G6,yNP22430,,,,,,
2,G7,yNP22448,,,,,,
2,G8,yNP22449,,,,,,
2,G9,yNP22450,,,,,,
2,G10,yNP22452,,,,,,
2,G11,yNP22453,,,,,,
2,G12,yNP22454,,,,,,
2,H1,yNP22424,,,,,,
2,H2,yNP22425,,,,,,
2,H3,yNP22426,,,,,,
2,H4,yNP22428,,,,,,
2,H5,yNP22429,,,,,,
2,H6,yNP22430,,,,,,
2,H7,yNP22448,,,,,,
2,H8,yNP22449,,,,,,
2,H9,yNP22450,,,,,,
2,H10,yNP22452,,,,,,
2,H11,yNP22453,,,,,,
2,H12,yNP22454,,,,,,
3,A1,yNP22424,,,,,,
3,A2,yNP22425,,,,,,
3,A3,yNP22426,,,,,,
3,A4,yNP22428,,,,,,
3,A5,yNP22429,,,,,,
3,A6,yNP22430,,,,,,
3,A7,yNP22448,,,,,,
3,A8,yNP22449,,,,,,
3,A9,yNP22450,,,,,,
3,A10,yNP22452,,,,,,
3,A11,yNP22453,,,,,,
3,A12,yNP22454,,,,,,
3,B1,yNP22424,,,,,,
3,B2,yNP22425,,,,,,
3,B3,yNP22426,,,,,,
3,B4,yNP22428,,,,,,
3,B5,yNP22429,,,,,,
3,B6,yNP22430,,,,,,
3,B7,yNP22448,,,,,,
3,B8,yNP22449,,,,,,
3,B9,yNP22450,,,,,,
3,B10,yNP22452,,,,,,
3,B11,yNP22453,,,,,,
3,B12,yNP22454,,,,,,
3,C1,yNP22424,,,,,,
3,C2,yNP22425,,,,,,
3,C3,yNP22426,,,,,,
3,C4,yNP22428,,,,,,
3,C5,yNP22429,,,,,,
3,C6,yNP22430,,,,,,
3,C7,yNP22448,,,,,,
3,C8,yNP22449,,,,,,
3,C9,yNP22450,,,,,,
3,C10,yNP22452,,,,,,
3,C11,yNP22453,,,,,,
3,C12,yNP22454,,,,,,
3,D1,yNP22424,,,,,,
3,D2,yNP22425,,,,,,
3,D3,yNP22426,,,,,,
3,D4,yNP22428,,,,,,
3,D5,yNP22429,,,,,,
3,D6,yNP22430,,,,,,
3,D7,yNP22448,,,,,,
3,D8,yNP22449,,,,,,
3,D9,yNP22450,,,,,,
3,D10,yNP22452,,,,,,
3,D11,yNP22453,,,,,,
3,D12,yNP22454,,,,,,
3,E1,yNP22424,,,,,,
3,E2,yNP22425,,,,,,
3,E3,yNP22426,,,,,,
3,E4,yNP22428,,,,,,
3,E5,yNP22429,,,,,,
3,E6,yNP22430,,,,,,
3,E7,yNP22448,,,,,,
3,E8,yNP22449,,,,,,
3,E9,yNP22450,,,,,,
3,E10,yNP22452,,,,,,
3,E11,yNP22453,,,,,,
3,E12,yNP22454,,,,,,
3,F1,yNP22424,,,,,,
3,F2,yNP22425,,,,,,
3,F3,yNP22426,,,,,,
3,F4,yNP22428,,,,,,
3,F5,yNP22429,,,,,,
3,F6,yNP22430,,,,,,
3,F7,yNP22448,,,,,,
3,F8,yNP22449,,,,,,
3,F9,yNP22450,,,,,,
3,F10,yNP22452,,,,,,
3,F11,yNP22453,,,,,,
3,F12,yNP22454,,,,,,
3,G1,yNP22424,,,,,,
3,G2,yNP22425,,,,,,
3,G3,yNP22426,,,,,,
3,G4,yNP22428,,,,,,
3,G5,yNP22429,,,,,,
3,G6,yNP22430,,,,,,
3,G7,yNP22448,,,,,,
3,G8,yNP22449,,,,,,
3,G9,yNP22450,,,,,,
3,G10,yNP22452,,,,,,
3,G11,yNP22453,,,,,,
3,G12,yNP22454,,,,,,
3,H1,yNP22424,,,,,,
3,H2,yNP22425,,,,,,
