from_block,well,base_strain,receptor,anchor,nanobody,negsel,dilution,notes
9,E2,yNP22425,,,,,,
9,E3,yNP22426,,,,,,
9,E4,yNP22428,,,,,,
9,E5,yNP22429,,,,,,
9,E6,yNP22430,,,,,,
9,E7,yNP22448,,,,,,
9,E8,yNP22449,,,,,,
9,E9,yNP22450,,,,,,
9,E10,yNP22452,,,,,,
9,E11,yNP22453,,,,,,
9,E12,yNP22454,,,,,,
9,F1,yNP22424,,,,,,
9,F2,yNP22425,,,,,,
9,F3,yNP22426,,,,,,
9,F4,yNP22428,,,,,,
9,F5,yNP22429,,,,,,
9,F6,yNP22430,,,,,,
9,F7,yNP22448,,,,,,
9,F8,yNP22449,,,,,,
9,F9,yNP22450,,,,,,
9,F10,yNP22452,,,,,,
9,F11,yNP22453,,,,,,
9,F12,yNP22454,,,,,,
9,G1,yNP22424,,,,,,
9,G2,yNP22425,,,,,,
9,G3,yNP22426,,,,,,
9,G4,yNP22428,,,,,,
9,G5,yNP22429,,,,,,
9,G6,yNP22430,,,,,,
9,G7,yNP22448,,,,,,
9,G8,yNP22449,,,,,,
9,G9,yNP22450,,,,,,
9,G10,yNP22452,,,,,,
9,G11,yNP22453,,,,,,
9,G12,yNP22454,,,,,,
9,H1,yNP22424,,,,,,
9,H2,yNP22425,,,,,,
9,H3,yNP22426,,,,,,
9,H4,yNP22428,,,,,,
9,H5,yNP22429,,,,,,
9,H6,yNP22430,,,,,,
9,H7,yNP22448,,,,,,
9,H8,yNP22449,,,,,,
9,H9,yNP22450,,,,,,
9,H10,yNP22452,,,,,,
9,H11,yNP22453,,,,,,
9,H12,yNP22454,,,,,,
10,A1,yNP22434,,,,,,
10,A2,yNP22435,,,,,,
10,A3,yNP22438,,,,,,
10,A4,yNP22443,,,,,,
10,A5,yNP22444,,,,,,
10,A6,yNP22445,,,,,,
10,A7,yNP22446,,,,,,
10,A8,yNP22447,,,,,,
10,A9,yNP22451,,,,,,
10,A10,yNP22455,,,,,,
10,A11,yNP22456,,,,,,
10,A12,yNP22457,,,,,,
10,B1,yNP22434,,,,,,
10,B2,yNP22435,,,,,,
10,B3,yNP22438,,,,,,
10,B4,yNP22443,,,,,,
10,B5,yNP22444,,,,,,
10,B6,yNP22445,,,,,,
10,B7,yNP22446,,,,,,
10,B8,yNP22447,,,,,,
10,B9,yNP22451,,,,,,
10,B10,yNP22455,,,,,,
10,B11,yNP22456,,,,,,
10,B12,yNP22457,,,,,,
10,C1,yNP22434,,,,,,
10,C2,yNP22435,,,,,,
10,C3,yNP22438,,,,,,
10,C4,yNP22443,,,,,,
10,C5,yNP22444,,,,,,
10,C6,yNP22445,,,,,,
10,C7,yNP22446,,,,,,
10,C8,yNP22447,,,,,,
10,C9,yNP22451,,,,,,
10,C10,yNP22455,,,,,,
10,C11,yNP22456,,,,,,
10,C12,yNP22457,,,,,,
10,D1,yNP22434,,,,,,
10,D2,yNP22435,,,,,,
10,D3,yNP22438,,,,,,
10,D4,yNP22443,,,,,,
10,D5,yNP22444,,,,,,
10,D6,yNP22445,,,,,,
10,D7,yNP22446,,,,,,
10,D8,yNP22447,,,,,,
10,D9,yNP22451,,,,,,
10,D10,yNP22455,,,,,,
10,D11,yNP22456,,,,,,
10,D12,yNP22457,,,,,,
10,E1,yNP22434,,,,,,
10,E2,yNP22435,,,,,,
10,E3,yNP22438,,,,,,
10,E4,yNP22443,,,,,,
10,E5,yNP22444,,,,,,
10,E6,yNP22445,,,,,,
10,E7,yNP22446,,,,,,
10,E8,yNP22447,,,,,,
10,E9,yNP22451,,,,,,
10,E10,yNP22455,,,,,,
10,E11,yNP22456,,,,,,
10,E12,yNP22457,,,,,,
10,F1,yNP22434,,,,,,
10,F2,yNP22435,,,,,,
10,F3,yNP22438,,,,,,
10,F4,yNP22443,,,,,,
10,F5,yNP22444,,,,,,
10,F6,yNP22445,,,,,,
10,F7,yNP22446,,,,,,
10,F8,yNP22447,,,,,,
10,F9,yNP22451,,,,,,
10,F10,yNP22455,,,,,,
10,F11,yNP22456,,,,,,
10,F12,yNP22457,,,,,,
10,G1,yNP22434,,,,,,
10,G2,yNP22435,,,,,,
10,G3,yNP22438,,,,,,
10,G4,yNP22443,,,,,,
10,G5,yNP22444,,,,,,
10,G6,yNP22445,,,,,,
10,G7,yNP22446,,,,,,
10,G8,yNP22447,,,,,,
10,G9,yNP22451,,,,,,
10,G10,yNP22455,,,,,,
10,G11,yNP22456,,,,,,
10,G12,yNP22457,,,,,,
10,H1,yNP22434,,,,,,
10,H2,yNP22435,,,,,,
10,H3,yNP22438,,,,,,
10,H4,yNP22443,,,,,,
10,H5,yNP22444,,,,,,
10,H6,yNP22445,,,,,,
10,H7,yNP22446,,,,,,
10,H8,yNP22447,,,,,,
10,H9,yNP22451,,,,,,
10,H10,yNP22455,,,,,,
10,H11,yNP22456,,,,,,
10,H12,yNP22457,,,,,,
11,A1,yNP22434,,,,,,
11,A2,yNP22435,,,,,,
11,A3,yNP22438,,,,,,
11,A4,yNP22443,,,,,,
11,A5,yNP22444,,,,,,
11,A6,yNP22445,,,,,,
11,A7,yNP22446,,,,,,
11,A8,yNP22447,,,,,,
11,A9,yNP22451,,,,,,
11,A10,yNP22455,,,,,,
11,A11,yNP22456,,,,,,
11,A12,yNP22457,,,,,,
11,B1,yNP22434,,,,,,
11,B2,yNP22435,,,,,,
11,B3,yNP22438,,,,,,
11,B4,yNP22443,,,,,,
11,B5,yNP22444,,,,,,
11,B6,yNP22445,,,,,,
11,B7,yNP22446,,,,,,
11,B8,yNP22447,,,,,,
11,B9,yNP22451,,,,,,
11,B10,yNP22455,,,,,,
11,B11,yNP22456,,,,,,
11,B12,yNP22457,,,,,,
11,C1,yNP22436,,,,,,
11,C2,yNP22437,,,,,,
11,C3,yNP22438,,,,,,
11,C4,yNP22440,,,,,,
11,C5,yNP22441,,,,,,
11,C6,yNP22442,,,,,,
11,C7,yNP22448,,,,,,
11,C8,yNP22449,,,,,,
11,C9,yNP22451,,,,,,
11,C10,yNP22452,,,,,,
11,C11,yNP22453,,,,,,
11,C12,yNP22454,,,,,,
11,D1,yNP22436,,,,,,
11,D2,yNP22437,,,,,,
11,D3,yNP22438,,,,,,
11,D4,yNP22440,,,,,,
11,D5,yNP22441,,,,,,
11,D6,yNP22442,,,,,,
11,D7,yNP22448,,,,,,
11,D8,yNP22449,,,,,,
11,D9,yNP22451,,,,,,
11,D10,yNP22452,,,,,,
11,D11,yNP22453,,,,,,
11,D12,yNP22454,,,,,,
11,E1,yNP22436,,,,,,
11,E2,yNP22437,,,,,,
11,E3,yNP22438,,,,,,
11,E4,yNP22440,,,,,,
11,E5,yNP22441,,,,,,
11,E6,yNP22442,,,,,,
11,E7,yNP22448,,,,,,
11,E8,yNP22449,,,,,,
11,E9,yNP22451,,,,,,
11,E10,yNP22452,,,,,,
11,E11,yNP22453,,,,,,
11,E12,yNP22454,,,,,,
11,F1,yNP22436,,,,,,
11,F2,yNP22437,,,,,,
11,F3,yNP22438,,,,,,
11,F4,yNP22440,,,,,,
11,F5,yNP22441,,,,,,
11,F6,yNP22442,,,,,,
11,F7,yNP22448,,,,,,
11,F8,yNP22449,,,,,,
11,F9,yNP22451,,,,,,
11,F10,yNP22452,,,,,,
11,F11,yNP22453,,,,,,
11,F12,yNP22454,,,,,,
11,G1,yNP22436,,,,,,
11,G2,yNP22437,,,,,,
11,G3,yNP22438,,,,,,
11,G4,yNP22440,,,,,,
11,G5,yNP22441,,,,,,
11,G6,yNP22442,,,,,,
11,G7,yNP22448,,,,,,
11,G8,yNP22449,,,,,,
11,G9,yNP22451,,,,,,
11,G10,yNP22452,,,,,,
11,G11,yNP22453,,,,,,
11,G12,yNP22454,,,,,,
11,H1,yNP22436,,,,,,
11,H2,yNP22437,,,,,,
11,H3,yNP22438,,,,,,
11,H4,yNP22440,,,,,,
11,H5,yNP22441,,,,,,
11,H6,yNP22442,,,,,,
11,H7,yNP22448,,,,,,
11,H8,yNP22449,,,,,,
11,H9,yNP22451,,,,,,
11,H10,yNP22452,,,,,,
11,H11,yNP22453,,,,,,
11,H12,yNP22454,,,,,,
12,A1,yNP22436,,,,,,
12,A2,yNP22437,,,,,,
12,A3,yNP22438,,,,,,
12,A4,yNP22440,,,,,,
12,A5,yNP22441,,,,,,
12,A6,yNP22442,,,,,,
12,A7,yNP22448,,,,,,
12,A8,yNP22449,,,,,,
12,A9,yNP22451,,,,,,
12,A10,yNP22452,,,,,,
12,A11,yNP22453,,,,,,
12,A12,yNP22454,,,,,,
12,B1,yNP22436,,,,,,
12,B2,yNP22437,,,,,,
12,B3,yNP22438,,,,,,
12,B4,yNP22440,,,,,,
12,B5,yNP22441,,,,,,
12,B6,yNP22442,,,,,,
12,B7,yNP22448,,,,,,
12,B8,yNP22449,,,,,,
12,B9,yNP22451,,,,,,
12,B10,yNP22452,,,,,,
12,B11,yNP22453,,,,,,
12,B12,yNP22454,,,,,,
12,C1,yNP22436,,,,,,
12,C2,yNP22437,,,,,,
12,C3,yNP22438,,,,,,
12,C4,yNP22440,,,,,,
12,C5,yNP22441,,,,,,
12,C6,yNP22442,,,,,,
12,C7,yNP22448,,,,,,
12,C8,yNP22449,,,,,,
12,C9,yNP22451,,,,,,
12,C10,yNP22452,,,,,,
12,C11,yNP22453,,,,,,
12,C12,yNP22454,,,,,,
12,D1,yNP22436,,,,,,
12,D2,yNP22437,,,,,,
12,D3,yNP22438,,,,,,
12,D4,yNP22440,,,,,,
12,D5,yNP22441,,,,,,
12,D6,yNP22442,,,,,,
12,D7,yNP22448,,,,,,
12,D8,yNP22449,,,,,,
12,D9,yNP22451,,,,,,
12,D10,yNP22452,,,,,,
12,D11,yNP22453,,,,,,
12,D12,yNP22454,,,,,,
12,E1,yNP22436,,,,,,
12,E2,yNP22437,,,,,,
12,E3,yNP22438,,,,,,
12,E4,yNP22440,,,,,,
12,E5,yNP22441,,,,,,
12,E6,yNP22442,,,,,,
12,E7,yNP22448,,,,,,
12,E8,yNP22449,,,,,,
12,E9,yNP22451,,,,,,
12,E10,yNP22452,,,,,,
12,E11,yNP22453,,,,,,
12,E12,yNP22454,,,,,,
12,F1,yNP22436,,,,,,
12,F2,yNP22437,,,,,,
12,F3,yNP22438,,,,,,
12,F4,yNP22440,,,,,,
12,F5,yNP22441,,,,,,
12,F6,yNP22442,,,,,,
12,F7,yNP22448,,,,,,
12,F8,yNP22449,,,,,,
12,F9,yNP22451,,,,,,
12,F10,yNP22452,,,,,,
12,F11,yNP22453,,,,,,
12,F12,yNP22454,,,,,,
12,G1,yNP22436,,,,,,
12,G2,yNP22437,,,,,,
12,G3,yNP22438,,,,,,
12,G4,yNP22440,,,,,,
12,G5,yNP22441,,,,,,
12,G6,yNP22442,,,,,,
12,G7,yNP22448,,,,,,
12,G8,yNP22449,,,,,,
12,G9,yNP22451,,,,,,
12,G10,yNP22452,,,,,,
12,G11,yNP22453,,,,,,
12,G12,yNP22454,,,,,,
12,H1,yNP22436,,,,,,
12,H2,yNP22437,,,,,,
12,H3,yNP22438,,,,,,
12,H4,yNP22440,,,,,,
12,H5,yNP22441,,,,,,
12,H6,yNP22442,,,,,,
12,H7,yNP22448,,,,,,
12,H8,yNP22449,,,,,,
12,H9,yNP22451,,,,,,
12,H10,yNP22452,,,,,,
12,H11,yNP22453,,,,,,
12,H12,yNP22454,,,,,,
